Damage,Time
40,0.6918463
80,0.7504719
40,1.469655
120,3.211843
160,3.251377
80,3.75102
120,3.832625
160,5.310667
200,5.391381
240,6.951526
280,7.072787
320,8.59042
360,8.712335
200,10.05283
240,10.12944
400,11.05122
440,11.11175
480,11.15185
520,12.6714
560,12.7726
600,14.37186
280,14.39035
640,14.47201
680,16.07071
720,16.13008
320,16.97266
760,17.65182
800,19.35287
360,20.9695
840,21.05
400,23.39283
880,23.95174
920,24.0315
960,25.49176
1000,25.5312
1040,25.56986
440,26.1517
480,26.19022
520,26.23025
1080,27.17023
1120,27.27056
1160,28.67104
560,29.21057
600,29.27166
1200,30.25044
1240,30.35116
640,30.75276
680,30.81283
1280,34.90964
1320,36.43273
720,37.09129
760,37.13042
800,38.61113
1360,38.69095
840,40.19072
1400,40.21026
1440,40.21026
880,40.29008
1480,41.85274
1520,41.93075
920,41.95198
960,41.95198
1000,41.99002
1560,43.47246
1600,43.5714
1040,43.91027
1080,43.95003
1640,45.03217
1680,45.1314
1120,46.87076
1160,48.38921
1200,50.5